,title,category
35,"""누적 적자만 4억"" 서울에서 동네 목욕탕이 사라지고 있다",Social
36,"[더세종] 행정수도특별법, 후순위 심사... 세종시민 ""잔뜩 기대했는데···""",Social
37,교통대 통합 또 수렁…다시 내홍에 휩싸인 충북대,Social
38,"대북송금 녹취록 파장…""검찰 부적절한 플리바게닝"" vs ""與 싸구려 삼류 정치공세""",Social
39,"박광운 영종구청장 예비후보, 인천공항 통합 반대 1인 시위",Social
40,"'12년만 시장 출마' 김부겸 ""국힘 바꾸고 싶으면 김부겸 찍어달라""",Social
41,환자 중심 AI ‘스마트 병실’ 구축…2035년 동탄에 고려대병원 들어선다,Social
42,"[단독] 기름값 싸서 몰리더니…""왜 새치기하냐"" 흉기까지",Social
43,'무료 관람' 끝...국립중앙박물관 내년부터 '전면 유료화' [지금이뉴스],Social
44,"""육동한 춘천시장, 현직 장막에 숨지 말고 토론 참여하라""",Social
45,"쓰리에이치, 공군에 3H지압침대 50대 기증… 조종사 건강 지원",Social
46,“중위소득의 절반도 못번다”…100명중 15명 빈곤선 이하,Social
47,"""부동산 업무인 줄""…보이스피싱 수거책, 무더기 징역형",Social
48,"최민호 세종시장, 국회 국토위 찾아가…행정수도특별법안 조속 처리 요청",Social
49,"신정훈, 강기정 제처고 단일후보로…전남광주통합시장 민주당 경선 3강 체제 재편",Social
50,안전공업 참사 마지막 발인…43년 근무 오상열 씨,Social
51,“알고 보니 중국산” 57억원대 ‘○○○’ 국산으로 둔갑…딱 걸렸다,Social
52,"“대기업 다니는 나와 결혼하려 임신 거짓말 아내, 3억 빚까지”",Social
53,"“188억 분담했는데 단독등기?”…마포구, 은평구에 소유권 소송",Social
54,"""쓰레기 봉투 부족 심각해지면 일반 봉투 허용""",Social
55,SNS 막말 논란 김미나 창원시의원 재판행,Social
56,"초등생 볼 당긴 야구감독 벌금형…운동장 100바퀴 '뺑뺑이' 지시는 무죄, 왜? [디케의 눈물 361]",Social
57,"강원도 신청사 착공식 ""69년 만 이전"" vs ""5천억 경제살리기에""",Social
58,[영상] 과자 하나에 4만원대?···4월에 재출시하는 한정판 과자 [유행보고서 EP.2],Social
59,"""장애인 식탁 아래서 기어다니게 해"" 마포 시설서 이용자 학대 의혹 제기",Social
60,"배민서 빼돌린 고객 정보로 '보복 대행'…""채용기준 강화하겠다""",Social
61,"`1년 3개월 공백` 경찰청장, 인선 속도내나…정년 리스크 해소",Social
62,"짜장면 21그릇 싹싹 비워 놓고⋯""이물질 나왔어요"" 환불 요구한 손님",Social
63,"인천공항, 비행기 45초당 한 대 씩 뜨고 내린다… 세계 8위 수준",Social
64,[오늘의 운세] 3월 31일 화요일 (음력 2월 13일 甲辰),Social
65,엎어둔 ‘술잔’…MZ세대가 음주 덜 하는 이유,Social
66,청라하늘대교 개통 후 민원 급증… 인근 심야 고소음 오토바이 제한,Social
67,"경찰, ‘국힘 조정훈 공천헌금 의혹’ 내사 착수… 2500만 원 수수 의혹",Social
68,강남 압구정서 80대 운전자 차량 식당 돌진...4명 부상,Social
69,인천 벌말교 인근서 시신 발견…부검 의뢰,Social
70,"강선우·김경, '대장동 일당 무죄' 선고한 중앙 형사1단독 배당",Social
71,서울 꽃구경 명소는?…서울관광재단이 소개하는 '봄꽃 명소',Social
72,"홍성 산불 방화 혐의 50대, 자택서 '쿨쿨' 체포…""기억이 없다""",Social
73,"대전시, 천변도시고속화도로 원촌육교 전면 통제",Social
74,"경찰, 국힘 조정훈 ‘공천헌금 의혹’ 내사…마포갑 시·구의원 줄소환",Social
75,"오세훈 “불출마나 무소속 출마, 상상해본 적도 없다”",Social
76,"[속보] “너무 아파 눈물 나”…39.8도 고열에도 일하다 숨진 20대 유치원교사, 마지막 메시지",Social
77,"다음 주 벚꽃 '분홍 물결' 절정…변수는 봄비 소식, 만개와 겹칠 수도",Social
78,"한양여대 잇따른 화재로 100명 대피...경찰, '방화 가능성' 수사",Social
79,"“쯔양 ‘먹토’ 목격” 허위 제보한 대학 동창, 결국 벌금 700만원",Social
80,국밥 한 그릇 대접했더니…제복 입고 가게 찾아온 참전 용사,Social
81,노영민-한범덕 vs 신용한-송기섭 손잡나…민주당 충북지사 결선 코앞,Social
82,"""닭고기 50억 사기 의혹""...경찰, 가공업체 직원 수사",Social
83,"“안돼, 가지마 살려내”…안전공업 화재 희생자 오열 속 마지막 발인",Social
84,"'1칸당 1명' 트램펄린에 뛰어들어 다친 아동…법원 ""시설도 책임""",Social
85,“용산 행정관이 21그램 감사때 허위답변 요구…문구까지 지시”,Social
86,정원 줄이는 미충원 대학에 최대 10억원 지원…‘특성화 인센티브’도 신설,Social
87,"""중2 흡연 훈계했더니 신고""…190㎝ 격투기 선수도 당했다",Social
88,"'1억 공천헌금' 강선우·김경, '부패담당' 중앙 형사1단독 배당",Social
89,"관세청 ""외화밀반출 꼼짝마""…전담부서 인천공항에 2곳 신설",Social
90,"'성범죄 의혹' 황석희, 2일 전 ""딸 아빠"" 내세워…누리꾼 ""실망""",Social
91,[더 라이프이스트-김영헌의 마중물] 시니어의 귀환,Social
92,신입생 화장실에 가두고 뺨때린 여중생들…입학 첫날부터 학폭,Social
93,"'20대 여성 틱토커 살해·시신유기' 50대 男, ""단죄 받아 마땅하다""더니⋯징역 40년에 '항소'",Social
94,"""재혼 대신 '리얼돌'과 살면 어때?"" 돌싱에게 물으니…뜻밖 결과",Social
95,[기자수첩] 퇴직연금 수수료 몇만 원일까…숫자로 직접 본다,Social
96,"“쯔양 ‘먹고 토하기’ 봤다” 허위사실 제보자, 대학 동창이었다…벌금형 약식명령",Social
97,"""이럴 땐 어떡해야 해?""...부천 유치원교사 사망 전 메시지",Social
98,“나이 들어서 그런가” 허리 통증 단순 나이 탓?…“NO”,Social
99,"오세훈 ""대통령보다 5선 서울시장 원해…당에 바라는 것 없어""",Social
100,'성범죄 전과 의혹' 번역가 황석희…SNS에 입장 밝혔다,Social
101,국민의힘 경북지사 경선 '진흙탕' 공방…토론 앞두고 난타전,Social
102,"""5천만원 투자사기 신고하자 인분 투척""…인천서도 피해 신고",Social
103,"43년간 600회 헌혈한 60대 남성… ""만 70세까지 하는 것이 목표""",Social
104,사탐런 이어 '확통런' 급증…3월 학평서 수험생 절반 응시,Social
105,“어디서 새치기야” 차량 몰린 주유소 ‘칼부림’까지 벌어졌다 [세상&],Social
106,[자막뉴스] 성폭행범에 웬 '저명인사 명예보호'? 10년 내내 독방 '특혜' 받은 JMS,Social
107,더불어민주당 원주시장 후보 토론회 개최 합의 불발 놓고 시끌,Social
108,'대북 송금' 수사 검사 반발에 녹취 추가 공개 예고…진실게임 돌입,Social
109,"""사재기 안해도 된다""…정부, 종량제 봉투 부족할 땐 일반 봉투 허용",Social
110,"이 대통령, ‘제2공항’ 즉석 찬반 묻고 “여러분이 잘 판단하시라”···장외선 찬반 단체 집회",Social
111,글로벌허브도시법 두고 박형준·주진우·부산시당 전방위 민주당 비판(종합),Social
112,"""너무 아파 눈물""…'고열 출근' 교사 사망 전 남긴 메시지",Social
113,"고유가에 화물차 기사들 한숨만...""멈춰야 할 수도""",Social
114,"이 대통령·김현지 실장 겨냥 ‘막말’…김미나 창원시의원, 불구속기소",Social
115,“내 BMW 바퀴 통째로 사라져”...인천 주차장서 벌어진 황당한 일,Social
116,출발한 열차 문 두드리며 따라가다…90대 선로 추락해 참변,Social
117,“민주당은 민주주의 버렸다” 김태성·정광호 조국혁신당 전격 입당,Social
118,"경찰, 인형뽑기 가게 돌던 10대 무리 1600만원 훔친 혐의로 체포",Social
119,프로포폴 투약 운전자 추궁했더니…공급자가 '동물병원 원장',Social
120,"국민의힘 대구시장 예비후보 윤재옥 ""지역구에 자택 있다""",Social
121,"맞벌이 부부 가사·돌봄, 여성이 남성 2.9배…성평등 갈 길 멀어",Social
122,"""제주를 탄소중립 개척지이자, 인공지능 인재 육성 허브로""",Social
123,2026북중미 월드컵도 제대로 못 볼까…중계권 독점JTBC와 지상파 3사 협상 난항,Social
124,"서울시, 광화문광장 ‘받들어총’ 조형물 4월 말까지 설치한다",Social
125,중학생에 '길거리 흡연' 지적했다가...되레 신고당한 명현만 [지금이뉴스],Social
126,홍대 인형뽑기방 5곳 턴 10대 일당 검거…현금 1600만원 훔쳐,Social
127,"“여성 혐오 반성하자”더니 성범죄 전력?…황석희 번역가, SNS엔 “초등학교 입학 앞둔 딸 아빠” 게시물",Social
128,"신정훈, 강기정 꺾고 단일후보…與 전남광주시장 3강 재편(종합)",Social
129,"입학식 날 화장실서 집단 폭행, 영상 올린 여중생들 송치",Social
130,"[단독] 서울대, AI 석학 5명 데려온다…연봉 3억 걸고 AX '대수술'",Social
131,"롯데자이언츠 승리하면 이자도 '쑥'…부산은행, 가을야구 예·적금 출시",Social
132,10대 자살·20대 폭력·50대 산재·70대 추락…연령별 ‘손상 패턴’,Social
133,중동 여파로 현수막·공보물 값 줄줄이↑…광주 군소정당 어쩌나,Social
134,"이 대통령에 막말한 김미나 창원시의원, 결국 재판행",Social
135,"오세훈, 국가유산청장과 회동…세운4구역 관련 TF 곧 구성",Social
136,"안전공업 화재 계기…대전시, 산업단지 전수조사·제도 개선 착수",Social
137,무면허 만취 상태로 말소 BMW 운전하다 사고 낸 30대 불법체류 태국 여성 구속영장,Social
138,'산부인과' 전문의 42%는 전공외 진료…분만은 12% 불과,Social
139,이원택 “지지율 떨어진 적 없다”…경선 ‘결선 변수’ 자신감,Social
140,환자 폭행 학대한 간병인 ‘관리·감독 소홀’ 책임… 요양병원장 벌금형,Social
141,"시민단체, 김민석 국무총리 고발…'12·29 여객기 참사' 직무유기 혐의",Social
142,호르무즈 발 묶인 韓실습선원 1명 추가 하선…175명 남았다,Social
143,[단독]16년 만에 한국 왔다 붙잡힌 외국인 카드 위조범,Social
144,"""여기가 밥값 제일 싸다"" 거지맵이 알려준 최저가 식당은…[오목조목]",Social
145,신용한 “명태균 고소…이번 주내 맞고소할 것”,Social
146,"육군항공학교, '한국 회전익기 전시회' 성황…아파치·수리온 총출동",Social
147,"이철우·김재원 예비후보, 감정선 자극하며 '극한대립'",Social
148,김일윤·임인배·김석준 전 의원…국민의힘 김재원 경북지사 예비후보 지지선언,Social
149,경남교육감 진보 단일후보에 송영기 선정…전창현 사퇴 후 공동본부 합류,Social
150,"한국서 20년 산 60대 중국인, 장기기증으로 4명에 새 생명",Social
151,신상공개 범죄자 80%가 무기징역…'범죄 예방' 실효성 의문,Social
152,"[단독] 전재수, 내달 2~3일 경 부산시장 출마선언",Social
153,술자리서 지인 살해하려 한 60대…항소심도 징역 6년,Social
154,"“쯔양 ‘먹토’ 봤다” 허위 제보한 대학 동창, 벌금 700만원 처분",Social
155,"오세훈 ""서울 시민들과의 약속 지키는 것이 지금 나에게 가장 중요""",Social
156,"""기억이 없다"" 홍성 산불 방화 혐의 50대 긴급 체포해 영장",Social
157,"""방화범 있다"" 잇단 화재…한양여대 '발칵'",Social
158,여성 혼자 사는 집에 강도 4명 침입…“벨 누르고 들어가”,Social
159,"섬에어, 사천공항 신규 취항…사천~김포 하루 4회서 12회로",Social
160,'재개발 투자 미끼' 16억원 사기극..50대 항소심도 실형,Social
161,성남 분당수서로 소음저감 단절 민원…해결실마리 찾나,Social
162,망한 투자에서 시작된 8년의 동행,Social
163,"20대 女틱토커 살해하고 시신유기, 징역40년…쌍방 항소",Social
164,"""엄선된 정보만 있다""…1만원 이하 식당 알려주는 '거지맵' 확산",Social
165,"오세훈, 광화문 '감사의정원' 석재 기증 9개국 외교단 초청",Social
166,중동해역에 발묶인 선원들…전쟁 장기화에 하선 잇따라,Social
167,"종합특검 '金여사 도이치 사건 무마' 수사팀 조사…""인력 충원""",Social
168,"한양여대 화재로 100여명 대피…경찰, 방화 용의자 조사",Social
169,“문제는 뱃살이야”… 통풍 부르는 ‘고요산혈증’ 위험 ↑,Social
170,"""가난·압박 속 강제 이별""…혼혈 입양인들, 진화위에 진실규명 신청",Social
171,용인 반도체 국가산단 이전 논란···여론은 “원안 추진이 답”,Social
172,"부산경찰청, 31일부터 부산 서면 일대서 이륜차 광역단속",Social
173,'분양권 투자 사기' 16억 가로챈 경찰관 아내…항소심도 징역 5년,Social
174,"""너무 아파 눈물, 미치겠어""…숨진 유치원 교사가 남긴 메시지",Social
175,"서울시 ""성동문화원 '성범죄자 재임명'은 자치구 책임...정원오에 유감""",Social
176,"부산소방, ‘라이프세이버’ 신설… 현장 영웅 예우 강화",Social
177,구자열 '토론 불참'…민주당 원주시장 경선 균열,Social
178,18세 이하 ‘비질병 사망’ 54%가 자살…자해·자살 시도 9년새 6.5배로,Social
179,"국힘 창원시장 '컷오프' 반발…박성호, 효력정지 가처분 신청",Social
180,"오세훈 ""서울 지키기 최우선…당 변화 없인 보수 재건 어려워""",Social
181,미스대구 후보 사전합숙 성료…다음달 12일 '미스 대구' 뽑는다,Social
182,"이유 없는 두근거림 반복된다면 ... 부정맥, 언제 의심해 봐야 할까?",Social
183,"'국가폭력범죄 시효 배제', 이번엔 위헌 논란 넘을까",Social
184,사천∼김포 새 하늘길 열려…섬에어 하루 왕복 4회 신규 취항,Social
185,"삼천당제약 ""먹는 당뇨·비만약 제네릭 美라이선스 계약""",Social
186,'청풍호 바람달정원' 벚꽃축제 기간 맞춰 특별개장,Social
187,4월 건보료 추가되나... 작년엔 62%가 평균 20만원 더 냈다,Social
188,'국보급 레전드' 박찬호...시구 하나로 전한 깊은 메시지 [현장영상+],Social
189,"섬에어, 사천~김포 항공노선 정기 운항 시작…하루 왕복 4회",Social
190,"기후부장관 ""종량제 부족 시 일반봉투 배출 허용…사재기 불필요""",Social
191,"'쓰봉 사재기' 진화 나선 김성환 장관… ""부족할 땐 일반 봉투에 버리는 것도 허용""",Social
192,김진태 “획기적 도약” 강원 신청사 착공식…우상호·정의당 반발,Social
193,"기후에너지부 장관 ""종량제 봉투 부족시 일반 봉투 사용 허용""",Social
194,"종합특검 ""'김건희 수사 무마' 검찰 수사팀 조사",Social
195,전처와 통화했다고 죽도로 친구 집 부순 50대,Social
196,"김종철 방미통위원장, YTN 파행 사태에 ""법 취지 존중돼야, 유감""",Social
197,"서울시 ""성폭력 혐의 성동문화원장 재임용 깊은 유감""",Social
198,종합특검 “‘김건희 수사무마 의혹’ 관련 검찰 수사팀 조사”,Social
199,‘37위에 0-4 완패’ 월드컵 어쩌나…JTBC-지상파 협상 또 결렬,Social
200,"금강수목원 민간매각 갈등 격화…""공공 숲으로 보전해야""",Social
201,대전 남부순환고속도로 구봉터널서 5중 추돌사고…6명 부상,Social
202,경찰 아내가 분양권 사기로 16억 '꿀꺽'…2심도 징역 5년,Social
203,"'성범죄 전과' 황석희 ""무해한 사람 아냐, 실망할 날 올 것""…재조명",Social
204,"'1억 공천 헌금' 강선우·김경 사건, 중앙지법 형사1단독 배당",Social
205,오세훈-허민 지난주 회동…·종묘·세운4구역 갈등 풀리나,Social
206,강남 아파트 등 247채 굴리며 세금 빼돌려… 임대업자 세무조사,Social
207,입학식 날 후배 폭행 촬영해 SNS 올린 중학생들 송치,Social
208,평택 물류창고 ‘100억 추가’ 대기업 갑질 도마…논란 확산,Social
209,“쯔양 먹고 토하는거 봐” 거짓제보 동창 벌금 700만 원 [자막뉴스],Social
210,대전남부순환고속도로서 승용차와 중학교 체험학습버스 추돌…학생 등 6명 이송,Social
211,"""수준 낮은 토론 지켜봐야 하는 광주·전남 시민 불행""",Social
212,"[속보] 새벽 3시 여성 홀로 사는 집에 ‘딩동’, 문 여니 20대 떼강도 닥쳤다",Social
213,'연분홍 물결 시작' 여의도 윤중로 벚꽃 개화 [뉴시스Pic],Social
214,43년 일터서 숨진 금형 베테랑…“손녀는 아직 퇴근 안 한 걸로 알아요”,Social
215,신정훈 단일화 효과 통할까…민주당 특별시장 경선 판세 '출렁',Social
216,[단독]가족 돌보느라 지각·결석·결근···하루 8시간 ‘독박 돌봄’ 시달리는 청소년·청년들,Social
217,기후부 장관 “쓰레기봉투 부족시 일반 봉투에 버리게 허용”…마트·편의점 일부는 구매 제한,Social
218,“원인 모를 발달장애” 실마리 풀었다…유전자 ‘읽기 오류’가 범인,Social
219,"행정수도특별법 또다시 뒷순위, 세종시민 기대에 '찬물'",Social
220,"""결혼식에 2천만 원 사용""…줄어들던 결혼 비용 다시 올랐다",Social
221,유명 번역가 황석희 성범죄 전과 의혹 제기에 “변호사와 검토 진행 중” 법적 대응 예고,Social
222,"의정부 도심 하천에 때이른 녹조…""이상 고온 원인 추정""",Social
223,"종합특검, 비상계엄 당시 '선관위 체포조' 의혹 본격 수사",Social
224,"종합특검 ""'김건희 수사무마' 당시 검찰 수사팀 조사""",Social
225,싼 식당 정보 공유 ‘거지맵’ 눈길…지갑 얇은 청년들 몰려,Social
226,"경찰, '이진숙 모욕 혐의' 최민희 불송치",Social
227,"'쯔양, 먹방 하고 온 날 토한 흔적 목격'…유튜버 주작감별사에 허위제보한 대학 동창 벌금 700만원 약식명령",Social
228,"""재개발 아파트 투자해""…분양권 미끼로 16억 사기 50대",Social
229,"진성준 ""부동산 보유세 인상, 7월 세제 개편 포함 가능성 상당""",Social
230,"""위기의 대구·경북, 정치·경제 혁신으로 신경제권 창조할 때다""",Social
231,"전국 최초 '1도 1국립대'…""세계가 주목하는 대학으로""",Social
232,"""최저임금 노동자 10명 중 9명, '생활비 부족'·'월 250만 원'은 받아야""",Social
233,"'전처와 통화' 분개, 죽도 휘둘러 친구 집 부순 50대 '징역형'",Social
234,민주 부산시장 경선 일정 확정…전재수·이재성 2파전,Social
235,39.8도 고열에도 출근… 결국 사망한 20대 유치원교사,Social
236,국민의힘 창원·의령 공천 경쟁 진흙탕 싸움,Social
237,기름값 저렴한 주유소서 줄 서있다 끼어든 차량에 화가 나 흉기 꺼내 위협한 30대 구속영장,Social
238,"""쯔양 '먹토' 봤다"" 허위 제보한 대학 동창…벌금 700만 원",Social
239,[이슈플러스]제네릭 쏟아져도 가격 그대로…“경쟁 없는 시스템 바꿔야”,Social
240,[이슈플러스]약가 인하에 중소·중견제약사 R&D·고용 우려 확산,Social
241,"탈 많은 울진 스카이레일 또 멈췄다…""정기 안전검사 통과 못해""",Social
242,"“우울증 힘들어 술 먹다가…” 감형 노린 살인미수범, 항소 기각",Social
243,"1원 단위 택시비 정산, 할인 공구... 치솟는 물가에 '체리슈머'된 대학생들",Social
244,“예식장 진작 잡을걸”…결혼비용 다시 상승세 전환,Social
245,'춘천·강릉·삼척·원주 멀티캠퍼스 구축' 강원대 통합 비전 선포,Social
246,"경찰, '이진숙 모욕 혐의' 최민희 무혐의 불송치",Social
247,"""코스식 식대 1인 약 12만원""…결혼식 비용 다시 뛰었다",Social
248,차량 급정거 시비 붙자…쇠파이프 들어 머리 공격한 60대,Social
249,“건물 내 방화범 있다” 한양여대 화재 100여명 대피…용의자 조사중,Social
250,"아동권리보장원, '물량' 발언에 ""사과…조직 쇄신할 것""",Social
251,"오세훈 ""민주당만 아니라면 어떤 정파·인물이건 통합정치 필요""",Social
252,종량제 봉투 대란에…기후장관 “최악 땐 일반봉투 배출 허용”,Social
253,'무료' 국립중앙박물관 끝…19년 만에 유료화,Social
254,"전북도, 방산 첨단복합소재 밸류체인 구축…16개 기관 뭉쳐",Social
255,"종합특검 ""노상원 '수사2단' 범죄단체조직죄 입건 예정""(종합)",Social
256,"화성시, 내달 개인택시 63대 신규 면허 발급 신청 접수",Social
257,여성 혼자 사는 집에 들이닥친 4인조 강도…이웃이 살렸다,Social
258,팹리스 기업 대구로 집결…실증부터 상용화까지 반도체 생태계 구축,Social
259,대한항공 부산테크센터에 2000억 투자…무인기 신규공장 추진,Social
260,20대 여성 틱토커 살해 후 유기한 50대 1심 '징역 40년' 불복…쌍방 항소,Social
261,25t 트럭 맥주병 와르르…유리 파편 흩어져 도로 마비,Social
262,“흙 만지고 꽃 심고”…도심 속 숲에서 자라는 아이들,Social
263,"경찰, 국힘 조정훈 '공천 헌금 의혹' 내사… 마포갑 구의원 소환 조사",Social
264,퇴계선생 마지막 귀향길 재현행사 개막,Social
265,"가로등 박은 30대, 차에선 '주사기 145개'…프로포폴 준 동물병원 원장 구속",Social
266,고유가 속 주유소 새치기 시비에 흉기 위협까지,Social
267,"김부겸 등판, 보수텃밭 대구출렁…""국힘버려야 보수산다""",Social
268,"'이태원 막말' 김미나 의원, 李대통령 명예훼손 혐의로 재판행",Social
269,"송영기 경남교육감 예비후보, 시민연대 진보교육감 단일후보 확정",Social
270,"“아파서 눈물”…39도 고열에도 출근, 유치원 교사 끝내 사망",Social
271,이철우·김재원 '지역 유력인사 지지선언 받기' 경쟁 치열,Social
272,"""188억 분담했는데 단독등기""…마포구, 은평구 상대 소유권 소송(종합)",Social
273,"불 껐는데 또 불났다…""100명 긴급대피"" 한양여대 발칵",Social
274,"'대기업男'과 결혼하고 싶어서…""임신했어"" 거짓말에 3억 빚도 숨긴 여성",Social
275,"은평구, 마포구의 소송 제기에 ""유감…강경 대응할 것""",Social
276,김부겸 출마에 요동치는 대구 민심… '미워도 다시 한번' 불문율 깨지나,Social
277,불광사 분쟁을 넘어 한국 불교 '승가 우월주의'를 묻다,Social
278,HMM 본사 부산 이전안 이사회 통과…노조 '주총 저지' 전면전,Social
279,"""신도회장이 아니라 법회장... 불광사 문제는 구조의 충돌""",Social
280,반년 넘게 이어지는 김병기 수사···‘결정타 부족’ 때문이지만 ‘봐주기 수사’ 비판도 계속,Social
281,한양여대서 3시간 간격 방화 추정 화재···용의자 학교 관계자에 붙잡혀,Social
282,[속보]“종량제 봉투 부족시에는 ‘일반 봉투’에 배출 허용” 기후부 장관 曰,Social
283,"""독감 걸려 죄송합니다""…사망한 사립유치원 교사의 카톡",Social
284,민주당 충북지사 후보 결선 경선…‘송기섭은 누구 지지’?,Social
285,"직원 숨졌는데 ""유족이고 XX""…""너무 위험"" 묵살한 정체 [취재파일]",Social
286,대전교육감 선거 ‘진보 단일후보’에 성광진 선출,Social
287,경찰 아내가 분양권 사기로 16억 꿀꺽…항소심도 징역 5년 선고,Social
288,"""쯔양, 먹고 토했다"" 허위 제보한 대학 동창에 벌금형",Social
289,"""버스 잘못 타 짜증""…오리역 '묻지마 칼부림' 30대, 검찰 송치",Social
290,“이게 리조트지 감옥이냐” 조감도 논란에…법무부 “채택 안돼” [팩트체크],Social
291,"간병인들이 환자 때리고 입에 테이프 붙이는 등 학대…'관리 소홀' 요양병원장, 벌금형",Social
292,[단독] 홍대 인근 인형뽑기 가게서 1천6백만 원 훔친 10대 일당 검거,Social
293,"'컷오프' 민주 여수시의원 후보들, 전남도당에 재검토 촉구",Social
294,"종합특검 ""'김건희 수사 무마' 수사팀 조사…추가 특검보 추천""",Social
295,"김미나 창원시의원, 또 법정 선다…李대통령·김현지 겨냥 막말 논란",Social
296,남해 시금치 ‘보물초’ 가격 폭락… 농민 ‘한숨’,Social
297,"서울시 ""與 거짓선동 도 넘어…민간 유람선 사고를 한강버스 사고로 둔갑""",Social
298,"쯔양 ‘먹토’ 허위 제보 대학동창, ‘벌금 7백만 원’",Social
299,"[6·3대전] 허태정·장철민·장종태 ""이장우 상대 적임자"" 강조",Social
300,"한양여대 화재로 100명 대피…경찰, 방화 용의자 붙잡아 조사",Social
301,"술 취해 지인에게 흉기 휘두른 60대, 2심도 징역 6년",Social
302,"대북 송금 이슈 삼킨 '박상용 녹취록'…박 검사, 인스타까지 개설하며 '맞불'",Social
303,“봉투값 안 오른다” 김성환 장관... 품귀 시 ‘일반 봉투 사용’ 한시 허용,Social
304,국내 최초 '1도 1국립대학' 출범...강원대 통합 비전 선포식 개최,Social
305,"""제 차량 바퀴·휠이 통째로 사라졌어요""...경찰, 절도 용의자 2명 추적",Social
306,한양여대 두 차례 불로 100명 대피… 20대 여성 현행범 체포,Social
307,"황석희 번역가, 성폭력 전과 의혹 확산에… “변호사와 관련 사안 검토 중”",Social
308,[단독] 강남 압구정 골목서 80대 운전자 차량 돌진…4명 부상,Social
309,제조 심장 구미의 부활…전자산업 넘어 'K방산 수도' 대변신,Social
310,"특검, '김건희 무혐의' 수사팀 조사…'선관위 장악' 범죄단체조직죄 입건",Social
311,"""너무 아파 눈물, 미치겠어""…부천 유치원교사 사망 전 메시지",Social
312,수능 절대평가 논의 시작되나…4월부터 '대입개편 협의체' 가동,Social
313,"[자막뉴스] 190cm 헤비급에도 ""XX 왜 찍어""…중2 담배 '길빵' 계도했다 '봉변'",Social
314,'이진숙 모욕 혐의' 최민희 의원 무혐의 불송치,Social
315,강원도 신청사 착공식… 정치적 공방은 여전,Social
316,차량 2대 들이받고 뺑소니…20대 불법체류 베트남인 구속,Social
